product,sector,variable,env_mean,cs2_mean,step
CCI,Western_Weddell,hfr,0.1086529603710881,0.1210652980953455,0.0124123377242574
CCI,Western_Weddell,hfi,0.18070401168531838,0.19337902011142835,0.012675008426109968
CCI,Western_Weddell,hs,0.30190142023342625,0.30317180065645116,0.0012703804230249083
CCI,Western_Weddell,hsc,0.07205105276295433,0.07231372056735887,0.0002626678044045372
CCI,Eastern_Weddell,hfr,0.046385353258638476,0.07070003387828669,0.024314680619648213
CCI,Eastern_Weddell,hfi,0.08807068870023443,0.1127517835961448,0.02468109489591036
CCI,Eastern_Weddell,hs,0.17431811795190527,0.17611412165893447,0.0017960037070292034
CCI,Eastern_Weddell,hsc,0.04168533589001055,0.04205174940741724,0.00036641351740668987
CCI,Indian,hfr,0.04990775024311409,0.04826958125664128,-0.0016381689864728155
CCI,Indian,hfi,0.07565918613087247,0.07428654014236398,-0.001372645988508489
CCI,Indian,hs,0.10771448661883673,0.10904209667609797,0.0013276100572612443
CCI,Indian,hsc,0.025751436543133523,0.02601695836832126,0.0002655218251877353
CCI,Western_Pacific,hfr,0.09520570437113444,0.09311725944280624,-0.002088444928328201
CCI,Western_Pacific,hfi,0.12675459393196636,0.12414303628934754,-0.0026115576426188197
CCI,Western_Pacific,hs,0.13172173113734634,0.1299160725126664,-0.0018056586246799344
CCI,Western_Pacific,hsc,0.03154888994025963,0.031025777622643445,-0.000523112317616186
CCI,Ross,hfr,0.06365757159612798,0.06705232751038338,0.003394755914255407
CCI,Ross,hfi,0.10516242048254719,0.10832405566341347,0.0031616351808662763
CCI,Ross,hs,0.17381105378822043,0.17327068414953017,-0.0005403696386902523
CCI,Ross,hsc,0.04150484792060322,0.0412717272217075,-0.0002331206988957224
CCI,Amundsen_Bellingshausen,hfr,0.09632328194048669,0.07899544595016374,-0.01732783599032295
CCI,Amundsen_Bellingshausen,hfi,0.13915421234236824,0.1215160275912947,-0.017638184751073538
CCI,Amundsen_Bellingshausen,hs,0.17875040626084363,0.17783767936958209,-0.0009127268912615394
CCI,Amundsen_Bellingshausen,hsc,0.04283092881518382,0.0425205799854464,-0.0003103488297374196
LEGOS,Western_Weddell,hfr,0.12869374081492424,0.18023349800043634,0.0515397571855121
LEGOS,Western_Weddell,hfi,0.1850816524139157,0.2502625762588448,0.0651809238449291
LEGOS,Western_Weddell,hs,0.25898324665096073,0.32076306392749154,0.06177981727653081
LEGOS,Western_Weddell,hsc,0.055667339879329564,0.06893173822512229,0.013264398345792724
LEGOS,Eastern_Weddell,hfr,0.08838668072389233,0.1037129115106331,0.015326230786740766
LEGOS,Eastern_Weddell,hfi,0.11553675902110558,0.1418817980835835,0.026345039062477926
LEGOS,Eastern_Weddell,hs,0.12552467548736818,0.17896454615725413,0.05343987066988595
LEGOS,Eastern_Weddell,hsc,0.027093278451098338,0.03855544752958748,0.01146216907848914
LEGOS,Indian,hfr,0.07817065708891109,0.0649248052181469,-0.013245851870764186
LEGOS,Indian,hfi,0.08966685078210301,0.08514128045903313,-0.004525570323069883
LEGOS,Indian,hs,0.053619584979282486,0.10195922872258557,0.04833964374330309
LEGOS,Indian,hsc,0.01157258293522453,0.021953121112245653,0.010380538177021123
LEGOS,Western_Pacific,hfr,0.11559182088132257,0.12001236859295104,0.004420547711628475
LEGOS,Western_Pacific,hfi,0.13098978253978266,0.14591941320233875,0.014929630662556093
LEGOS,Western_Pacific,hs,0.08139313531142693,0.13320907143255076,0.051815936121123826
LEGOS,Western_Pacific,hsc,0.017549445818143865,0.02868285640660259,0.011133410588458726
LEGOS,Ross,hfr,0.09674059475461642,0.09319457484202254,-0.003546019912593887
LEGOS,Ross,hfi,0.12499141988378987,0.13040379227863416,0.005412372394844295
LEGOS,Ross,hs,0.13352755884881373,0.17313387307027975,0.039606314221466016
LEGOS,Ross,hsc,0.028817748378410384,0.03733275318518282,0.008515004806772433
LEGOS,Amundsen_Bellingshausen,hfr,0.10938140446389163,0.1112399875289864,0.00185858306509476
LEGOS,Amundsen_Bellingshausen,hfi,0.13660384424858624,0.1464563695092996,0.009852525260713368
LEGOS,Amundsen_Bellingshausen,hs,0.1369632934116655,0.17759652601348028,0.040633232601814784
LEGOS,Amundsen_Bellingshausen,hsc,0.029573004637603404,0.03826835254828135,0.008695347910677945
